model,pretraining,test_accuracy,test_loss,trainable_parameters,run_type
ResNet-18,ImageNet pretrained fine-tuning,0.9331,0.2240,11173962,single executed notebook run
AlexNet-style CNN,trained from scratch,0.8777,0.3826,35855178,single executed notebook run
